Time,HeadPosx,HeadPosy,HeadPosz,rewardx,rewardz
14:49:34:843,-5.380402,1.586237,-1.796974,,
14:49:34:876,-5.37333,1.586763,-1.796928,,
14:49:34:909,-5.365951,1.587399,-1.796706,,
14:49:34:943,-5.359253,1.587475,-1.796305,,
14:49:34:976,-5.358487,1.587684,-1.796125,,
14:49:35:010,-5.346019,1.587794,-1.795575,,
14:49:35:042,-5.339375,1.587654,-1.79663,,
14:49:35:076,-5.331951,1.587747,-1.79837,,
14:49:35:109,-5.325222,1.587494,-1.802418,,
14:49:35:143,-5.320774,1.586173,-1.809799,,
14:49:35:177,-5.317559,1.58404,-1.820595,,
14:49:35:210,-5.315346,1.581141,-1.832977,,
14:49:35:243,-5.313629,1.578067,-1.845595,,
14:49:35:276,-5.311875,1.574888,-1.857682,,
14:49:35:310,-5.309019,1.57202,-1.86967,,
14:49:35:343,-5.305804,1.569363,-1.880864,,
14:49:35:377,-5.301594,1.567542,-1.891655,,
14:49:35:410,-5.296729,1.566107,-1.902994,,
14:49:35:443,-5.291108,1.564629,-1.914105,,
14:49:35:477,-5.284881,1.563645,-1.923864,,
14:49:35:510,-5.278684,1.561672,-1.934734,,
14:49:35:543,-5.272129,1.559943,-1.94537,,
14:49:35:578,-5.265395,1.558396,-1.955863,,
14:49:35:611,-5.259302,1.556456,-1.966395,,
14:49:35:643,-5.253395,1.555335,-1.975611,,
14:49:35:677,-5.248401,1.553435,-1.984568,,
14:49:35:710,-5.244239,1.550795,-1.99294,,
14:49:35:744,-5.240679,1.547501,-2.000306,,
14:49:35:777,-5.238175,1.543369,-2.006516,,
14:49:35:811,-5.235873,1.538664,-2.011746,,
14:49:35:845,-5.233745,1.534446,-2.016127,,
14:49:35:878,-5.231606,1.532138,-2.020292,,
14:49:35:911,-5.229384,1.530537,-2.023918,,
14:49:35:944,-5.226279,1.529169,-2.026776,,
14:49:35:978,-5.222808,1.528406,-2.02964,,
14:49:36:011,-5.2189,1.528326,-2.032641,,
14:49:36:044,-5.213949,1.528754,-2.035602,,
14:49:36:078,-5.207479,1.529274,-2.038587,,
14:49:36:112,-5.199222,1.529851,-2.042083,,
14:49:36:144,-5.1893,1.530065,-2.046541,,
14:49:36:178,-5.17757,1.529953,-2.052206,,
14:49:36:211,-5.164398,1.529536,-2.058514,,
14:49:36:244,-5.149827,1.528945,-2.065193,,
14:49:36:279,-5.133972,1.528072,-2.072897,,
14:49:36:311,-5.117805,1.526917,-2.080769,,
14:49:36:329,,,,,
14:49:36:345,-5.100867,1.525799,-2.089481,,
14:49:36:379,-5.08328,1.52457,-2.098605,,
14:49:36:412,-5.0648,1.52332,-2.107835,,
14:49:36:445,-5.045544,1.522385,-2.117454,,
14:49:36:479,-5.025364,1.521784,-2.12716,,
14:49:36:512,-5.005484,1.521672,-2.13644,,
14:49:36:545,-4.984536,1.521415,-2.145741,,
14:49:36:579,-4.964306,1.521809,-2.153851,,
14:49:36:613,-4.944904,1.522302,-2.160623,,
14:49:36:645,-4.926888,1.523201,-2.166177,,
14:49:36:678,-4.910614,1.524545,-2.170896,,
14:49:36:713,-4.894951,1.526596,-2.174541,,
14:49:36:745,-4.88115,1.528687,-2.177425,,
14:49:36:779,-4.868481,1.530794,-2.179893,,
14:49:36:813,-4.856985,1.532597,-2.181862,,
14:49:36:846,-4.846563,1.534194,-2.183292,,
14:49:36:879,-4.837308,1.53592,-2.184858,,
14:49:36:913,-4.829229,1.537988,-2.186238,,
14:49:36:946,-4.82195,1.5404,-2.187936,,
14:49:36:980,-4.815629,1.543073,-2.189611,,
14:49:37:013,-4.810148,1.546078,-2.191405,,
14:49:37:046,-4.805212,1.549122,-2.193145,,
14:49:37:080,-4.800706,1.552033,-2.1947,,
14:49:37:114,-4.796847,1.555043,-2.196135,,
14:49:37:147,-4.793477,1.55814,-2.197393,,
14:49:37:180,-4.790702,1.561252,-2.198255,,
14:49:37:214,-4.788335,1.56442,-2.19883,,
14:49:37:246,-4.786426,1.567516,-2.199222,,
14:49:37:280,-4.784698,1.570756,-2.199808,,
14:49:37:313,-4.783287,1.574052,-2.200377,,
14:49:37:347,-4.782098,1.577412,-2.201037,,
14:49:37:381,-4.781388,1.580459,-2.201728,,
14:49:37:414,-4.781425,1.583048,-2.202021,,
14:49:37:448,-4.782125,1.584929,-2.201868,,
14:49:37:481,-4.783968,1.586018,-2.201123,,
14:49:37:514,-4.787286,1.586605,-2.199811,,
14:49:37:547,-4.792095,1.586169,-2.197867,,
14:49:37:581,-4.798408,1.585281,-2.19537,,
14:49:37:614,-4.805695,1.58369,-2.192657,,
14:49:37:648,-4.813902,1.581883,-2.189924,,
14:49:37:681,-4.822383,1.580018,-2.187399,,
14:49:37:714,-4.830933,1.577726,-2.185218,,
14:49:37:748,-4.839946,1.5751,-2.182703,,
14:49:37:781,-4.841014,1.574353,-2.181687,,
14:49:37:816,-4.847268,1.572951,-2.180373,,
14:49:37:833,,,,,
14:49:37:849,-4.864,1.566321,-2.175934,,
14:49:37:881,-4.872016,1.563064,-2.173404,,
14:49:37:915,-4.882098,1.558529,-2.170205,,
14:49:37:948,-4.890038,1.554916,-2.167481,,
14:49:37:981,-4.898244,1.551678,-2.165002,,
14:49:38:015,-4.906353,1.549001,-2.16251,,
14:49:38:048,-4.914294,1.546443,-2.159922,,
14:49:38:082,-4.921857,1.545114,-2.157735,,
14:49:38:115,-4.929025,1.543798,-2.15555,,
14:49:38:149,-4.936329,1.543242,-2.153749,,
14:49:38:182,-4.943352,1.543037,-2.151752,,
14:49:38:215,-4.950067,1.543574,-2.149972,,
14:49:38:249,-4.956652,1.544197,-2.148238,,
14:49:38:282,-4.962993,1.545111,-2.14668,,
14:49:38:316,-4.969153,1.546163,-2.145005,,
14:49:38:349,-4.975252,1.547356,-2.143355,,
14:49:38:383,-4.981182,1.548931,-2.142092,,
14:49:38:416,-4.986775,1.550739,-2.141041,,
14:49:38:449,-4.992077,1.552681,-2.140015,,
14:49:38:483,-4.997156,1.554521,-2.138824,,
14:49:38:516,-5.002032,1.556307,-2.137629,,
14:49:38:550,-5.006001,1.557874,-2.136725,,
14:49:38:583,-5.010751,1.559848,-2.135482,,
14:49:38:617,-5.01441,1.561626,-2.134464,,
14:49:38:650,-5.017749,1.563373,-2.133627,,
14:49:38:683,-5.020844,1.565218,-2.132711,,
14:49:38:717,-5.02348,1.567108,-2.131597,,
14:49:38:751,-5.025734,1.569124,-2.130414,,
14:49:38:784,-5.027658,1.571105,-2.128841,,
14:49:38:817,-5.029106,1.572834,-2.127136,,
14:49:38:851,-5.030328,1.574433,-2.125136,,
14:49:38:883,-5.031297,1.575601,-2.123178,,
14:49:38:917,-5.032469,1.576446,-2.120832,,
14:49:38:950,-5.033391,1.577394,-2.118594,,
